void_threshold_mpc,max_redshift,use_footprint,n_total,n_void,n_wall,n_cluster,median_void_distance,median_angular_sep,t_statistic,p_value,cohens_d,significant,void_mean,void_sem,wall_mean,wall_sem,cluster_mean,cluster_sem
10.0,0.1,False,628,171,45,412,93.17296718502004,22.256799018313252,-1.7859728563966513,0.07462506359465959,0.16246599260376135,False,-0.1646588338953245,0.012069818422154063,-0.1577455771663493,0.021208999739814702,-0.13616221653786775,0.00895588876030523
10.0,0.11,False,643,175,47,421,106.26126001708568,21.68976178797301,-1.9507397076377493,0.05155786393018517,0.1754536396740036,False,-0.16704090663697746,0.011620833146729273,-0.13487130380432297,0.023175871579927804,-0.13665196791691156,0.008786566907047724
10.0,0.12,False,652,176,47,429,107.75781459325476,24.540940243516765,-1.920591666374874,0.055254485388740116,0.17192053240590344,False,-0.16736846893795798,0.011559421345905867,-0.13487130380432297,0.023175871579927804,-0.13773190527053059,0.008653054386546547
10.0,0.13,False,674,177,48,449,131.00103572504068,28.741584573088964,-1.89944829566868,0.057966408476983575,0.16857953018686891,False,-0.16749471968013033,0.011494803308432902,-0.13705748636623807,0.022795919147290084,-0.13866212312979576,0.00836712100881268
10.0,0.14,False,692,178,48,466,162.3197868833691,35.536234436548,-2.004210761695998,0.04546705054099355,0.17659701722561144,True,-0.1680326937946324,0.011442807836330074,-0.13705748636623807,0.022795919147290084,-0.13800996964054593,0.008145094803607578
10.0,0.15,False,713,178,48,487,178.42875778761476,41.951291952150434,-2.04653002642401,0.04109809097925666,0.17924805910435818,True,-0.1680326937946324,0.011442807836330074,-0.13705748636623807,0.022795919147290084,-0.1377455409522113,0.007894228090110108
15.0,0.1,False,628,171,55,402,93.17296718502004,22.256799018313252,-1.7822447893265023,0.07524059338136747,0.1627172451477997,False,-0.1646588338953245,0.012069818422154063,-0.15515620753046114,0.01861894918335349,-0.135979584009731,0.009132487775398072
15.0,0.11,False,643,175,55,413,106.26126001708568,21.68976178797301,-1.9467482800705025,0.052042364440849885,0.17559187346835983,False,-0.16704090663697746,0.011620833146729273,-0.1360464735262189,0.020834365453299114,-0.1365299606001959,0.008915289158562451
15.0,0.12,False,652,176,55,421,107.75781459325476,24.540940243516765,-1.9156889418783534,0.05588366437380189,0.1719549871632936,False,-0.16736846893795798,0.011559421345905867,-0.1360464735262189,0.020834365453299114,-0.13763273775752674,0.008776969507946368
15.0,0.13,False,674,177,56,441,131.00103572504068,28.741584573088964,-1.8940530952688068,0.05868616562583093,0.16853125656243229,False,-0.16749471968013033,0.011494803308432902,-0.13789935911996945,0.020544550358280147,-0.13858432771006673,0.00848071331939315
15.0,0.14,False,692,178,56,458,162.3197868833691,35.536234436548,-1.99942228121059,0.045988967923994005,0.17659985602099842,True,-0.1680326937946324,0.011442807836330074,-0.13789935911996945,0.020544550358280147,-0.13792367049640947,0.008250955857486957
15.0,0.15,False,713,178,57,478,178.42875778761476,41.951291952150434,-2.040088408080214,0.041742745443737565,0.17913356061076505,True,-0.1680326937946324,0.011442807836330074,-0.1378901192754989,0.020184121728034982,-0.1376592070933115,0.008008415830876477
20.0,0.1,False,628,171,63,394,93.17296718502004,22.256799018313252,-1.8130469370423217,0.07035698464219285,0.1660302054340829,False,-0.1646588338953245,0.012069818422154063,-0.15728334320756315,0.016754515442484883,-0.13525008518784454,0.009292281182633802
20.0,0.11,False,643,175,65,403,106.26126001708568,21.68976178797301,-1.974803479379727,0.04876758168545007,0.17877889782723835,True,-0.16704090663697746,0.011620833146729273,-0.140757706590676,0.018174770611502345,-0.13578208149734244,0.00910818992313362
20.0,0.12,False,652,176,65,411,107.75781459325476,24.540940243516765,-1.942265127188207,0.05258458980739,0.17496465243462342,False,-0.16736846893795798,0.011559421345905867,-0.140757706590676,0.018174770611502345,-0.13692624747315538,0.008963070957272869
20.0,0.13,False,674,177,66,431,131.00103572504068,28.741584573088964,-1.9189902176385285,0.05545494934328627,0.17131653513204692,False,-0.16749471968013033,0.011494803308432902,-0.14225846962379074,0.017961250406293996,-0.13793269985078316,0.008651796405341168
20.0,0.14,False,692,178,66,448,162.3197868833691,35.536234436548,-2.024131321019201,0.04338219294837021,0.17933986709148197,True,-0.1680326937946324,0.011442807836330074,-0.14225846962379074,0.017961250406293996,-0.13728202277433849,0.008410562194919228
20.0,0.15,False,713,178,67,468,178.42875778761476,41.951291952150434,-2.064357266117932,0.03938373993563673,0.18178924734155796,True,-0.1680326937946324,0.011442807836330074,-0.14218554750978116,0.017693320072150995,-0.13703932928664744,0.008156279857523424
25.0,0.1,False,628,171,67,390,93.17296718502004,22.256799018313252,-1.8317357936369283,0.06752274022062177,0.16800178802201715,False,-0.1646588338953245,0.012069818422154063,-0.15847079139057368,0.01592697957603033,-0.13482010554594562,0.009377012353330537
25.0,0.11,False,643,175,69,399,106.26126001708568,21.68976178797301,-1.9927368567989165,0.04676498239981442,0.18067598348193784,True,-0.16704090663697746,0.011620833146729273,-0.14286874390559273,0.017292510605936517,-0.13536713394069436,0.00918925271187335
25.0,0.12,False,652,176,69,407,107.75781459325476,24.540940243516765,-1.9595204825123298,0.050529583307452275,0.1767789484829974,False,-0.16736846893795798,0.011559421345905867,-0.14286874390559273,0.017292510605936517,-0.13653070100829215,0.009041276653331447
25.0,0.13,False,674,177,70,427,131.00103572504068,28.741584573088964,-1.9353660191296187,0.05341337156318155,0.17301390566171987,False,-0.16749471968013033,0.011494803308432902,-0.14425359137517355,0.01710083665941219,-0.1375651082777414,0.00872363968914442
25.0,0.14,False,692,178,70,444,162.3197868833691,35.536234436548,-2.040244681524306,0.041749158699359294,0.18099891043958727,True,-0.1680326937946324,0.011442807836330074,-0.14425359137517355,0.01710083665941219,-0.13692264369777404,0.008477511660262832
25.0,0.15,False,713,178,71,464,178.42875778761476,41.951291952150434,-2.08008594673704,0.03791498989538643,0.18339175326545507,True,-0.1680326937946324,0.011442807836330074,-0.14415667724291967,0.016860254419470137,-0.13669334850228243,0.008218238963498652
30.0,0.1,False,628,171,76,381,93.17296718502004,22.256799018313252,-1.9214913628219943,0.05518623909505509,0.17686725373491638,False,-0.1646588338953245,0.012069818422154063,-0.1637132974083131,0.015359851965817658,-0.13321567869568354,0.009508041733482398
30.0,0.11,False,643,175,75,393,106.26126001708568,21.68976178797301,-1.9907646408853534,0.046987165074268804,0.18091675385792785,True,-0.16704090663697746,0.011620833146729273,-0.1428786911504732,0.016472050180568323,-0.135250707215108,0.0092937755190362
30.0,0.12,False,652,176,75,401,107.75781459325476,24.540940243516765,-1.9567836740680506,0.050856453007796995,0.1769302954160652,False,-0.16736846893795798,0.011559421345905867,-0.1428786911504732,0.016472050180568323,-0.13643400699145963,0.009141661180708983
30.0,0.13,False,674,177,76,421,131.00103572504068,28.741584573088964,-1.9321715455790578,0.053811927737257494,0.17308865093265874,False,-0.16749471968013033,0.011494803308432902,-0.14415407767186497,0.016304612791211693,-0.13748774994725887,0.008815157261300803
30.0,0.14,False,692,178,76,438,162.3197868833691,35.536234436548,-2.0375205692250145,0.04202611739436871,0.18111119720358893,True,-0.1680326937946324,0.011442807836330074,-0.14415407767186497,0.016304612791211693,-0.13683948697491344,0.008562420048408816
30.0,0.15,False,713,178,77,458,178.42875778761476,41.951291952150434,-2.077725758108385,0.038136498700131374,0.1835160452002655,True,-0.1680326937946324,0.011442807836330074,-0.14406600767593358,0.01609310242812908,-0.13661081921017348,0.008296425057470436
